,names,dates,scores,reviews
0,SealOfConfusion,"May 25, 2016",7,"I enjoy it but it feels so very shallow. I'll continue to play it because it finally allows me to play a fast paced game FPS that isn't COD which I've wanted to find an alternative to for so long. This is different and that's good to me. If I feel like a few fast pace games that my other friends can handle (due to this being very low in complexity) I'll play overwatch. If I feel likeI enjoy it but it feels so very shallow. I'll continue to play it because it finally allows me to play a fast paced game FPS that isn't COD which I've wanted to find an alternative to for so long. This is different and that's good to me. If I feel like a few fast pace games that my other friends can handle (due to this being very low in complexity) I'll play overwatch. If I feel like longer games and more complex game, I'll fire up battleborn. I like both well enough. Sorry black-ops 3, I waited for you since BO2 and I played you enough now and time to move on. It's not you COD, it's me. I'm sorry but we're breaking up. /shrug… Expand"
1,Rocker0407,"May 25, 2016",9,"Overwatch... wow just wow can be said about this game,so many characters to choose from, art style to leave you smiling, fun game modes and just all round good time. You will see people say this game is bad because of hackers and cheaters... answer to that is Overwatch is dishing out permanent bans to anyone found cheating or hacking sooooooo chill haters just chill. Secondly they willOverwatch... wow just wow can be said about this game,so many characters to choose from, art style to leave you smiling, fun game modes and just all round good time. You will see people say this game is bad because of hackers and cheaters... answer to that is Overwatch is dishing out permanent bans to anyone found cheating or hacking sooooooo chill haters just chill. Secondly they will same some rubbish like this game is terrible because of Micro transactions... its just cosmetic items people relax. Anything that can be bought over micro transactions can be obtained in game. So the good about Overwatch, it's a nice escape from the usual FPS games you normally play (call of duty, battlefield etc). Overwatch is a nice change and is a truly enjoyable experience also if you bored of the same kind of gameplay just switch to a different character because each character plays differently and is just as fun as the next (use Roadhog... best ever). Overall Overwatch is a good fun time and is a must for all those that enjoy FPS and is wanting to try something new and different.… Expand"
2,weirdcryo,"May 25, 2016",1,"This game is fun but pricey as hell. The main problem, at least for me, is the lack depth, if you are willing to waste 40 dollars in a game you could replace with f2p games then Overwatch is an option, but in the current market where you could find equal or better experience for the same or less money is plain stupid.
But like I said if you are willing, and don't mind promoting bs in theThis game is fun but pricey as hell. The main problem, at least for me, is the lack depth, if you are willing to waste 40 dollars in a game you could replace with f2p games then Overwatch is an option, but in the current market where you could find equal or better experience for the same or less money is plain stupid.
But like I said if you are willing, and don't mind promoting bs in the industry, you are gonna have nice and casual fun (for a lot of money).… Expand"
3,sondrex76,"May 25, 2016",10,"Overwatch is a really fun team shooter where you play 6v6 in a few different game modes such as king of the hill and capture the point.
The game is fast paced, extremely well made and varied to a huge degree thanks to the map variety and the fact that there are 21 unique characters. All of the characters are well designed and generally fun to play."
4,SeaOfSin,"May 25, 2016",7,"Let's be objective. Have been playing Overwatch for 9 hours (got 14 lvl already) and need to say that game is so unbalanced. You can take the same heroes and get rekt everyone. For example, in defensive mission (like the Moscow one) take 2 Bastions, 2 Torbjörn, 1 tank and 1 healer and have the easiest win. Or D.Va and Junkrat with their ulties against the team escorting the vehicle, radiusLet's be objective. Have been playing Overwatch for 9 hours (got 14 lvl already) and need to say that game is so unbalanced. You can take the same heroes and get rekt everyone. For example, in defensive mission (like the Moscow one) take 2 Bastions, 2 Torbjörn, 1 tank and 1 healer and have the easiest win. Or D.Va and Junkrat with their ulties against the team escorting the vehicle, radius of these ulties is insane.

Blizz literally took the worst from TF2 and Borderlands and totally ignored the best. This game is enjoyable but still feels like beta - so unfinished, so empty and so unbalanced. If you haven't bought it yet, do it in the next year, mb Blizz will finally finish it.… Expand"
5,Zozobra,"May 25, 2016",0,"I don't review games.  Ever.  But what Blizzard has done here is really frustrating.

As it stands:

1: You cannot report hackers.
2: If you leave a game to avoid a hacker, you will build up a penalty.
3: Overwatch has no issue putting you back in the game you left.
4: It will give you further penalties if you leave the game again.

As it stands anyone cheating is a god and you'reI don't review games.  Ever.  But what Blizzard has done here is really frustrating.

As it stands:

1: You cannot report hackers.
2: If you leave a game to avoid a hacker, you will build up a penalty.
3: Overwatch has no issue putting you back in the game you left.
4: It will give you further penalties if you leave the game again.

As it stands anyone cheating is a god and you're basically stuck with them.  This is a gamebreaking situation.  I had assumed that there would be a strong anti-cheat built in on launch, because in beta there was no way to deal with hackers.  Not the case.

Unless you enjoy playing with hackers, do not buy Overwatch.  Yes, it's fun and it's a great game, but neither of those things matter when the playing field is never leveled.… Expand"
6,ghzghost,"May 25, 2016",10,"An excellent game that lives up to the hype. Overwatch is the next big thing in MMO games. I'm sad to see so many negative reviews from people who either don't understand the game, are salty, or are simply hating on it because they like Battleborn better. Whatever their reasons, they are entitled to their opinion. The price may seem a bit steep for what there is, but it's also important toAn excellent game that lives up to the hype. Overwatch is the next big thing in MMO games. I'm sad to see so many negative reviews from people who either don't understand the game, are salty, or are simply hating on it because they like Battleborn better. Whatever their reasons, they are entitled to their opinion. The price may seem a bit steep for what there is, but it's also important to consider that every single map and character released in the future will be free, so that makes it worth it. The characters and worlds are amazing: each one feels unique and well-balanced. The visuals are gorgeous: It's not just another generic gritty brown military shooter. The music is great: it feels epic and inspiring. Overall, if you like team-based FPS games where teamwork actually matters, then you should play it. I recommend picking it up for PC instead of consoles. The community will be richer and last longer on PC.… Expand"
7,Samziel,"May 25, 2016",10,"First of all, this is NOT a ""FPS-moba"" like some people seem to understand. Comparing it to games like LoL or Dota is useless.

Now that out of the way, Overwatch is a great and polished game from Blizzard. It lacks of gamemodes, yes. But Blizzard has stated they are going to do updates for the game frequently. This means more maps, gamemodes and heroes. The price is 40€ and consideringFirst of all, this is NOT a ""FPS-moba"" like some people seem to understand. Comparing it to games like LoL or Dota is useless.

Now that out of the way, Overwatch is a great and polished game from Blizzard. It lacks of gamemodes, yes. But Blizzard has stated they are going to do updates for the game frequently. This means more maps, gamemodes and heroes. The price is 40€ and considering how every new triple A game cost usually around 60€ or higher, it's relatively cheap. For me, one of the best games I've played in a while and it will keep me occupied with lots of fun in the future.… Expand"
8,Bastrion,"May 25, 2016",10,"Excellent shooter. Have been playing it non stop and it just never gets old! Easy for casual gamers, challenging for hardcore gamers, and both can play together without feeling one is a drain on the other. Perfect!"
9,Syyntric,"May 25, 2016",9,"9/10 in a heartbeat, and here's why:
I've read the reviews from people about why this game is bad, and I do understand why, but I can't help but disagree. People have said now that it's repetitive, lacks a story-line, and isn't worth anything more than $10, and the big one, ""The blizzard name is the only reason people are buying it.""
I strongly disagree. I have found a lot of variability9/10 in a heartbeat, and here's why:
I've read the reviews from people about why this game is bad, and I do understand why, but I can't help but disagree. People have said now that it's repetitive, lacks a story-line, and isn't worth anything more than $10, and the big one, ""The blizzard name is the only reason people are buying it.""
I strongly disagree. I have found a lot of variability in this game, through the different maps and different characters. Your gameplay is constantly changing, as you have to pick different characters in order to hold off an enemy team's push if your original team composition wasn't working out. This game, although it doesn't feel like it, requires at least a little bit of thinking, such as ""When is a good time to use this ultimate?"" Or, ""What can I do or who can I pick to really support my team more?""
Now, to story-line. It is understandable that, as this is a Blizzard game, it is almost expected for them to have a campaign of some sort, and any type of backstory, and it really does. Each character has its own unique backstory into the whole story of Overwatch, before the setting of the game. The backstories make for great reads. Also, Blizzard is working on very detailed animated shorts that explain each characters' backstories were, in a more engaging way.

This is easily one of them most engaging FPS' I have ever played on PC, in it's own unique way. I'm not saying this is any Battlefield game, or more similarly, Quake arcade-like shooter, but it's still so engaging to it's audience. The 98 rating, as of right now as I write this, is extremely justified. I have played north of maybe 15-16 hours of this game somewhat, and I have enjoyed every minute of it.

The only reason why I haven't given this game a 10/10 is because you will not enjoy it as much if you aren't playing with at least one other friend.… Expand"
