,names,dates,scores,reviews
0,raserz,"Aug 16, 2019",2,"the concept for a game like this is amazing but the game was the best when it first came out, with all the new characters and meta's half the roster is pointless. I guess i will just go back to tf2 since the formula for that game, it has had its changes but for real i would rather play tf2 then play what overwatch has become this game is forever ruined and unplayable very disappointingthe concept for a game like this is amazing but the game was the best when it first came out, with all the new characters and meta's half the roster is pointless. I guess i will just go back to tf2 since the formula for that game, it has had its changes but for real i would rather play tf2 then play what overwatch has become this game is forever ruined and unplayable very disappointing since this game can be so fun, but i rather play og overwatch then this BS that it is now.… Expand"
1,Settron,"Aug 14, 2019",2,"This game has fallen very far, from its original glory. It is now a pandering playpen for crying children who report you to an automated system, the second they don't get their way. The company seems to roll out updates, nerfs and content often but only serves to drive this game further into the ground. This is no longer a ""play your hero"" type game. It has become a ""Oh they are thatThis game has fallen very far, from its original glory. It is now a pandering playpen for crying children who report you to an automated system, the second they don't get their way. The company seems to roll out updates, nerfs and content often but only serves to drive this game further into the ground. This is no longer a ""play your hero"" type game. It has become a ""Oh they are that person, that means I need to be this person"" or else risk getting yelled at by a team of pent up anger filled soy boys who rather than talk little bits or trash, explode in a fit of tantrum only rivaled by Stew Shivers in 1987 in a Washington D.C. Toys-R-Us. This also stems back to a system in the game called (Reporting for Abusive Chat) Something anyone is free to report and without any drawback at all.  Want to mess with someone's account? Tell everyone in chat to report them for Abusive Chat and once 10 is reached they are auto silenced by a system that has little to no checks and balances. The way the game is structured gives you a sense that you are doing so much better than all others. To the point where everyone ends up just talking down to one another and ends in someone being a child and throwing a game just to spite one person.

Avoid this game at all costs at risk of you kicking a puppy while walking the streets, due to OSTD (Overwatch Stupid Team Disorder) You cant yell at them so you end up taking it out on the world.

Go play Vermentied 2, better experience and actual teamwork involved… Expand"
2,Timaslam,"Aug 11, 2019",10,Мне нравится эта игра. Геймплей и дизайн на высшем уровне. Звуки и мелкие детали. Игра имеет превосходный лор за которым интересно наблюдать. Также игра развивается с каждым днем. Браво. 10/10
3,Zerobyte,"Aug  4, 2019",8,"-Music is great
-Events are awesome (but always the same)
-good for new ""gamers""
-Ranked system isn't really good"
4,Blacejet,"Aug  1, 2019",5,"This is a first-person shooter game which I really enjoy. The gameplay feels smooth and fun, and I like how each character is uniquely designed. Quick play, Arcade and custom games are very fun, and it's easy to pump a few hours into them. Competitive isn't exactly my cup of tea since season 9. The meta is simply too harsh and people are often too serious and/or butthurt in the diamond andThis is a first-person shooter game which I really enjoy. The gameplay feels smooth and fun, and I like how each character is uniquely designed. Quick play, Arcade and custom games are very fun, and it's easy to pump a few hours into them. Competitive isn't exactly my cup of tea since season 9. The meta is simply too harsh and people are often too serious and/or butthurt in the diamond and master ranks.

There is currently one mayor issue with this game however, and that's new content. Each event has less and less content with every year that goes by. Lucioball 4 times in a row and only 4 new legendary skins? That's a no from me. They are puting too much focus on the OWL, and the community suffers from this by the lack of content and slow updates.  The comics as well as the cinematic trailers are very hard to come by as well. The last time a new cinematic popped up was almost 9 months ago.

That's why I'm giving this game a 4.5/10.… Expand"
5,Petyapp,"Jul 30, 2019",10,"Ига с невероятно большим потенциалом, который Овер прекрасно показывает, если кто и хэйтит эту игру, то только по двум причинам - это либо же цена, которая теперь подешевела, или баланс который постоянно пытаются уравновесить!Ига с невероятно большим потенциалом, который Овер прекрасно показывает, если кто и хэйтит эту игру, то только по двум причинам - это либо же цена, которая теперь подешевела, или баланс который постоянно пытаются уравновесить!"
6,Tutle,"Jul 28, 2019",10,I consider Overwatch to be the most polished game ever made. It's no doubt my favorite game.
7,judyhassva,"Jul 26, 2019",10,"Probably the best first person shooter released in the last decade.  It has a good mix of shooting, strategy, replay value.  The graphics are also amazing and you don't need a very powerful computer to play the game. I also like that the developer continues to introduce new characters and the re-balance the game with updates."
8,Slob,"Jul 18, 2019",0,"This game is just totally garbage.Terrible game modes and heavily one-sided matches, toxic community and too based on cordinating the boring ultimates. This isn't a skilled FPS gamer's game."
9,AMKrishnan,"Jul  9, 2019",9,"Still such a brilliant game. I really enjoy picking it up in bursts. If you need an addictive game then get this! I love the different types of characters and really enjoy playing different game modes. Only criticism is that there are plenty of toxic players and it gets annoying. Also, the first 10 matches for competitive ranking have really poor matchmaking. Sort that out Blizzard"
10,BEZQ,"Jul  8, 2019",1,"I was writing a long review on this and then I accidently hit the ""back"" button on my mouse mid way so the short version will have to do:

ONLY TRY THIS GAME IF YOU'RE A CASUAL. STAY AWAY FROM IT IF YOU LIKE COMPETITIVE FPS."
11,Kewdie,"Jul  6, 2019",0,Gets old quickly. Don't understand the hype. It is probably is popular with more casual game players.
12,Figasaurus_Mex,"Jun 18, 2019",1,"Designed to encourage trolling. Imagine putting 8 year olds and older on 2 teams in a competitive team sport, and get rid of all the referees, and don't let teams kick players for bad behavior. That's Overwatch.No one would be suprised to see kids piledriving other kids, or pooping on the feild so they can laugh when their own team steps in it, or just sitting down and laughing watchingDesigned to encourage trolling. Imagine putting 8 year olds and older on 2 teams in a competitive team sport, and get rid of all the referees, and don't let teams kick players for bad behavior. That's Overwatch.No one would be suprised to see kids piledriving other kids, or pooping on the feild so they can laugh when their own team steps in it, or just sitting down and laughing watching their own team go nuts becaue they're a man down. Yet somehow this scenario is suprising to Blizzard, who want to be taken as a serious e-sport. Or maybe they knew how bad their game was designed, but didn't care because they knew they were doing something no one else was and they could get away with not thinking about the core rules of the game. Either way, if you want a slick shooter with lots of strategy, this is your game. If you want a game where your strategy matters at all, there are games with much smarter rule sets for that out there.… Expand"
13,Lobsang,"Jun 10, 2019",1,"If only for its other flaws I would maybe rate it a 6/10, but there's one main thing that's ruining everything else - the game is rampant with hackers now.

You'll get at least one in almost every game, 25-50% in any FFA mode (it's a haven for them because no one watches the kills cams because it cuts into your respawn time).

Blizzard just doesn't care anymore. They're too desperateIf only for its other flaws I would maybe rate it a 6/10, but there's one main thing that's ruining everything else - the game is rampant with hackers now.

You'll get at least one in almost every game, 25-50% in any FFA mode (it's a haven for them because no one watches the kills cams because it cuts into your respawn time).

Blizzard just doesn't care anymore. They're too desperate to keep players, as their playerbase rapidly dwindles. I'm pretty sure more people watch OWL than actually play the game now.… Expand"
14,AnEarthling,"Jun  9, 2019",0,"This game make EA blush. Literally the only reason to keep play is to unlock a lootbox, and even then you'll never get what you want. You can literally spend hundreds of dollars and never get one stupid skin that you want."
15,foofaloop,"May 26, 2019",4,"Overwatch is a game that you can definitely have fun with, but I feel that you need friends who play as well for that and that playing solo is not all that rewarding. It doesn't really help that the game is structured like it should be a free to play game which makes some aspects less rewarding.

At the time of writing this review Overwatch has more or less had its moment in theOverwatch is a game that you can definitely have fun with, but I feel that you need friends who play as well for that and that playing solo is not all that rewarding. It doesn't really help that the game is structured like it should be a free to play game which makes some aspects less rewarding.

At the time of writing this review Overwatch has more or less had its moment in the spotlight and interest around the game has dwindled. I wouldn't expect animated shorts from the game anymore honestly given how little weight the game's lore seems to carry.

Overall this is a game that will likely lose its luster pretty quickly and isn't really worth it in my opinion if you don't have other people to play it with.… Expand"
