,names,dates,scores,reviews
0,SubbotaAnton,"Mar 10, 2017",10,"I read a lot of reviews here and was surprised when people marked this game as really bad because they for some reason expected some story here, for example. No, it's only high-quality shooter, and nothing more. And it's best one among others, like TF2 or ""free"" shooters.

Here you should only buy this game once and have fun. You absolutely don't need to buy anything more here, and II read a lot of reviews here and was surprised when people marked this game as really bad because they for some reason expected some story here, for example. No, it's only high-quality shooter, and nothing more. And it's best one among others, like TF2 or ""free"" shooters.

Here you should only buy this game once and have fun. You absolutely don't need to buy anything more here, and I have played since August 2016 and have never done it. No reason to pay for it if you can take it for free because of your level.

And skins here matters nothing.

Also people hate matchmaking, and of course they have some reason for it. But your skill is matter too, and if you are really good, you will increase your rating (for example, I raised from 2000 to 3300 for this 6 months).

As summary it's 10 of 10 among shooters with different heroes.… Expand"
1,SJile,"Mar  8, 2017",6,"I want to say ""I don't get it,"" but I mostly get it. People loved Team Fortress 2 for whatever reason, and people love Blizzard, so when you combine the two, you get lots and lots of success. So, I get it.

This game is fun for a few rounds as far as I'm concerned, but its competitive potential seems shallow compared to a lot of titles on the market right now. The character design isI want to say ""I don't get it,"" but I mostly get it. People loved Team Fortress 2 for whatever reason, and people love Blizzard, so when you combine the two, you get lots and lots of success. So, I get it.

This game is fun for a few rounds as far as I'm concerned, but its competitive potential seems shallow compared to a lot of titles on the market right now. The character design is hit-or-miss, but mostly miss for my money. It has generated an insane amount of porn, so I guess we have Blizzard to thank for that.… Expand"
2,maiyagygery,"Mar  7, 2017",10,"Overwatch is the first game of team based shooter genre that i ever play in my life and it is indeed an amazing game.
Then i tried Team Fortress 2, Paladins, and Battleborn.
All was nothing compared to Overwatch.
It has so much fun, great characters design, great map design, great gameplay and all.
No wonder it is the GOTY of 2016.
It is the best multiplayer experience from 2016 andOverwatch is the first game of team based shooter genre that i ever play in my life and it is indeed an amazing game.
Then i tried Team Fortress 2, Paladins, and Battleborn.
All was nothing compared to Overwatch.
It has so much fun, great characters design, great map design, great gameplay and all.
No wonder it is the GOTY of 2016.
It is the best multiplayer experience from 2016 and until now.… Expand"
3,AstralAssassin3,"Mar  4, 2017",7,"Re reviewing this game, more content has been added and that pushes the score up:

Pros:
-Gameplay is fun fun fun and more fun.
-A great variety of characters, each with unique abilities and ultimates
-Lots more game modes, with a newly added 3v3 elimination and capture the flag modes

Neutral:
-Cartoon style graphics and sound design that some will love, others won't (I personallyRe reviewing this game, more content has been added and that pushes the score up:

Pros:
-Gameplay is fun fun fun and more fun.
-A great variety of characters, each with unique abilities and ultimates
-Lots more game modes, with a newly added 3v3 elimination and capture the flag modes

Neutral:
-Cartoon style graphics and sound design that some will love, others won't (I personally like it)

Cons:
-Still no story or campaign :/
-Some characters need balancing
-You will most likely find a character you despise (mine is tracer >:( )

Overall:
Story: 4/10 for improved background lore
Gameplay: 9/10
Graphics and sound design: 8/10
Overall: 7/10… Expand"
4,jmendez,"Mar  4, 2017",0,"Pay for play a TF2 RIPOFF. No way. Characters purely ripoff of tf2 and Paladins, terrible microtransaction system, you get bored after 2 hours of gaming...  And Tracer looks like Sora in Kingom Hearts. This game sucks."
5,Onymous,"Mar  3, 2017",1,"Another Team Fortress clone, without the twitch shooting fun.  Super easy to master, the classes in this game lack character, a-kin to Disney Channel likability.  An ongoing trend for Blizzard, this one just fails to bring grit to the table.  Anyone who wasn't spoiled by the Team Fortress mods born from Quake, just might like this.  Nothing innovative to game play (directly copied fromAnother Team Fortress clone, without the twitch shooting fun.  Super easy to master, the classes in this game lack character, a-kin to Disney Channel likability.  An ongoing trend for Blizzard, this one just fails to bring grit to the table.  Anyone who wasn't spoiled by the Team Fortress mods born from Quake, just might like this.  Nothing innovative to game play (directly copied from TF2), and bad level design.  No thanks!… Expand"
6,draifu,"Mar  3, 2017",9,"This game helps me spend time with friends and reconnect with my old ones. It even made a lot of my non-gamer friends play everyday. Although toxicity exists, it is without a doubt a fun game. Keep it up Blizzard."
7,OnlyLegends,"Mar  2, 2017",10,"I don't really understand all the hate, yeah I'm stuck in Elo hell too, but that doesn't mean you can't still have fun. The custom game modes you can make in this game are really entertaining and they are adding more stuff seems like every week, and there should be a new hero coming up fairly soon as well. I am level 140 or so and I think this game is very good, they are trying as hard asI don't really understand all the hate, yeah I'm stuck in Elo hell too, but that doesn't mean you can't still have fun. The custom game modes you can make in this game are really entertaining and they are adding more stuff seems like every week, and there should be a new hero coming up fairly soon as well. I am level 140 or so and I think this game is very good, they are trying as hard as they can to balance all the heroes abilities etc. but every once in a while the Overwatch team won't heed the community's advice and they mess up, but we're all human. VERY SOLID GAME OVERALL WOULD BUY AGAIN… Expand"
8,Zajonc,"Feb 25, 2017",3,"Please do not buy this game because it is a SCAM. Unbalanced characters and matchmaking, smurfing, salty community, shouting Russians expecting you to understand them whilst charging with a healer.

Teamwork only and only works is 6v6, everything else is just a well covered lie.

Blizzard bought the critics (91 VS 6.7) because this game is not even close to be mediocre."
9,carrot_reviews,"Feb 14, 2017",6,"Overwatch is a game that is,,,, so repetitive.
sometimes for example at the china map theres always a player waiting for you at the same point.
this game is popular because the ""sexy female characters"".
recently this game has some new game modes but those are practically the same thing just with a very few changes.
In my experience theres a few bugs in the game but nothung that affectsOverwatch is a game that is,,,, so repetitive.
sometimes for example at the china map theres always a player waiting for you at the same point.
this game is popular because the ""sexy female characters"".
recently this game has some new game modes but those are practically the same thing just with a very few changes.
In my experience theres a few bugs in the game but nothung that affects the in game experience… Expand"
10,Nel,"Feb 14, 2017",7,"Blizzard usually makes well made games, and this is no exception. However, for me the game feels very repetitive. The nice part of it that is not free, so you dont have to grind forever to get your characters, but they still make you pay for different boxes that contains items, that generally really don't have any impact, but it makes it feel like a free to play game"
11,CO_Grimm,"Feb 13, 2017",0,"The epitome of a polished turd. Blizzard was so busy making it look shiny that they overlooked things like:

- There's just a handful of incredibly OP heroes (about 7 out 23) that make the rest simply not worth using. Their balance changes thus far have given me no hope that this will ever change.
- Very low skill cap, especially on most of the OP heroes.
- Not many maps and they allThe epitome of a polished turd. Blizzard was so busy making it look shiny that they overlooked things like:

- There's just a handful of incredibly OP heroes (about 7 out 23) that make the rest simply not worth using. Their balance changes thus far have given me no hope that this will ever change.
- Very low skill cap, especially on most of the OP heroes.
- Not many maps and they all feel pretty much the same, within the same game mode. If you took away the textures, they'd almost be hard to tell apart. This is really where Blizzard's inexperience with FPS's shines through; it's like they just haphazardly threw together some hallways and chokepoints with no thought towards level design theory.
-Even if there was a good standout map, you couldn't choose to play on it (except in custom games with bots/friends only and no progression).
-Matchmaker is horrid, like many other reviewers have already discussed.
-No scoreboard so the really bad players don't know just how little they're contributing. Medals don't count because you can't see other player's medals.
-Mystery Heroes might be fun if it had hero limits and didn't snowball from total ult reset.… Expand"
12,Cezkarma,"Feb 12, 2017",10,"Let me first start off by saying that no game has ever surprised me like this.
At first I hated this game because I thought ""Who would pay to play TF2???"". It seemed so retarded.
That is until a friend let me play on his PC and I immediately fell in love.
I bought the game that afternoon and have never had more fun with a multiplayer game. And I'm saying that even though I also own BF1"
13,OnyxWeapon,"Feb  7, 2017",2,"Remember the times where you were practicing to get better at Counter-Strike, getting a sense of the differences between the classes in Team Fortress, learning to bunny-hop in Natural Selection, getting a handle on the recoil of the guns in Day of Defeat, perfecting your aim with the rail gun in Quake or mastering the flak cannon in Unreal Tournament? During those times, do you stillRemember the times where you were practicing to get better at Counter-Strike, getting a sense of the differences between the classes in Team Fortress, learning to bunny-hop in Natural Selection, getting a handle on the recoil of the guns in Day of Defeat, perfecting your aim with the rail gun in Quake or mastering the flak cannon in Unreal Tournament? During those times, do you still remember joining random servers on and on and on, hoping to find some equally skilled players to play with and have some fun? Yeah, me too. Good times.

But... you also remember joining those servers where you got absolutely bulldozed by a seemingly ""too"" coordinated tight-knit group of players. What was their advantage, you were thinking back then? Were they using a program like Team Speak? Maybe they were a group of friends playing together in the same room? Or maybe they only played this one map for hundreds of hours, using the same general tactics and you just stumbled on their server. Or maybe all of the above.

I remember I had a choice back then, I remember being able to choose for myself that I didn't like playing with these players, because there was no fun to be had for me. I couldn't hone my skills or perfect my tactics by observing them make the same moves every round, with the same weapons, with the same classes, in the same order, every single time. There was nothing te be gained on these servers. At those moments, I didn't realise the luxury I had of simply exiting those games and joining another within 10 seconds.

This game takes away that basic luxury.

As mentioned before by other reviewers here, this game forces you into games where the end goal is to have everyone maintain a 50% win rate. Sounds good on paper, right? Everyone has a 1 in 2 chance to win the game. Sounds logical. You win some and you lose some.

But read that sentence again:  ""the end goal is to have everyone maintain a 50% win rate"".
What this game does, it will disregard your personal and in game skill level and forcefully match you against players who are overwhelmingly more skilled than you, or match you up against a a seemingly ""too"" coordinated tight-knit group of players (which is visually indicated in your game) when you're on a winning streak.

You feel that cold chill yet?

Yes, this game willfully puts you in a meat grinder against individual top-tier players with hundreds of playing hours or clans of 3, 4, 5 or 6 players, because the game deems it is now ""time"" for them to win their next game. You are the sacrifice in achieving that goal. There's no way out of this circle. If you make the choice to exit this game, you will get a ""leaver penalty"" if you repeatedly keep leaving these kinds of games. When you join a new game, you will (again) get matched up against similar overwhelming odds. Until it's your ""time"" again to win and get matched up against a random group of lower skilled players.

It's maddening to play this game where the odds of you winning or losing are calculated and manipulated beforehand. In the end, you feel like you don't have any control on the outcome of the match.

In closing, this game fills me with an almost unbearable sorrow. From afar, the production values of this game are sky high. Excellent art style, good sound design, interesting characters/class mechanics, stable engine, etc. Yet their choice to not let you choose your own servers and the inclusion of this fixed matchmaking will be the reason many gamers will leave behind this game.

When Overwatch someday decides to give players the freedom to play with similar skilled players, you can up the score of this game to a 7.5 out of 10. There are fun times to be had, on the very rare occasion 2 teams of equal skill do get matched up against each other.

P.S.: Oh, and ""Quick Play"" in this game means waiting up to 3 minutes to start/find a game with other players. Remember 2 weeks ago it was publicized there are 25 million registered players in this game. Even if you look at that number from an extremely pessimistic view and guess that about 1 in 250 registered players still plays this game, you still would have 100 000 active players. It should not take 3 minutes to find you a game with those numbers of people.… Expand"
14,everin,"Feb  6, 2017",9,"TIER 1

+ Polished, fun, diverse, and beautiful -- on the surface, little goes wrong in this title.
+ Provides a variety of player experiences and fantasies, caters itself well to all demographics from casual to high level play.
? Most major ""problems"" with the game come from two things: players' unwillingness to focus on objectives at low skill levels, and the reality that this titleTIER 1

+ Polished, fun, diverse, and beautiful -- on the surface, little goes wrong in this title.
+ Provides a variety of player experiences and fantasies, caters itself well to all demographics from casual to high level play.
? Most major ""problems"" with the game come from two things: players' unwillingness to focus on objectives at low skill levels, and the reality that this title has a much lower skill ceiling than most good FPS games.
? From my experience, it started to feel stale around the 200 hour mark. Good staying power for a game, but doesn't compare well to my 1000+ hours logged in DotA 2 and League of Legends.… Expand"
15,RoyceBracket,"Feb  6, 2017",0,"Forced 50% win rate is real.

That's all you need to know. It is the one big factor ruining this game. Every match is a steamroll one way or the other, because it intentionally matches you against much better or much worse players. It's not so much a game as a coin toss."
16,The_BlueRose,"Feb  6, 2017",8,"A long-term game that started with low content but month by month shows improvement.

Good looking characters and well built

New game modes: scort the payload, control, 1vs1, 3vs3... And one termporary mode every event.

Events: new modes and customization stuff.

And overall fun."
