,names,dates,scores,reviews
0,FacundoCritics,"Jul 10, 2016",7,"Juego divertido, nivelado, muy buenos graficos, ambientacion, etc... El competitivo tiene muchas cosas que mejorar, pero para pasar el rato es un buen juego, vale la pena comprarlo. 7/10"
1,aibolith,"Jul 10, 2016",3,"What is awewome about this game is the incredible shiny graphics, juicy sounds and voiceovers and its friendliness to low-end hardware setups. But that's about it.
The gameplay is just plain boring. Over the best years of the genre arena 1st person shooters developed such balanced and entertaining weapons, movement strategies and tricks, and OV uses non of it, even though it's a shooter.What is awewome about this game is the incredible shiny graphics, juicy sounds and voiceovers and its friendliness to low-end hardware setups. But that's about it.
The gameplay is just plain boring. Over the best years of the genre arena 1st person shooters developed such balanced and entertaining weapons, movement strategies and tricks, and OV uses non of it, even though it's a shooter. This is just another MOBA game , just on a FPS engine and POV. And the core of the gameplay isn't masterful shooting or dodging or jumping, no, it's rock-paper-scissors with picking the correct composition of hero characters. Well, I say you have a wide variety of Facebook games for rock-paper-scissors. And with such amount of content this game does not deserve to have a price higher than, let's say, Doom. Gave it 4 bars of 10, because that's how I value games: 4 bars for the visuals/audio/comforts, and 6 bars for the gameplay. Graphically it's 4/4, gameplay-wise it's 0/6 for me.… Expand"
2,Henry0012,"Jul  9, 2016",7,"Here is a quick pro and cons why I think this game is not a 9/10 like other critics mentioned.

Pros:
-  There are a lot of heros with its own playstyle that create countless team-based strategies in this game.
-  The gameplay is short enough so if you are faced with a team of cheaters, then it will be over quickly unlikes CS GO I am stuck with a cheater for a full hour.
- ItHere is a quick pro and cons why I think this game is not a 9/10 like other critics mentioned.

Pros:
-  There are a lot of heros with its own playstyle that create countless team-based strategies in this game.
-  The gameplay is short enough so if you are faced with a team of cheaters, then it will be over quickly unlikes CS GO I am stuck with a cheater for a full hour.
- It encourages teamplay over lonewolf type of style. It feels so rewarding when you execute a strategy as a team. And there are a lot of heros that allow all sort of cheesey strats.

Cons:
- Micro transaction system makes level progression extremely slow, as they encouraging you to buy the crates instead of grinding out the EXP for skins and customization.
- There are simply not enough content to justify the price tag, comparing to other big titles out there. You pretty much get 3 gamemode and that's about it. I wish they would implement the Arcade matchmaking like in StarCraft 2.
- It's too much rock, paper, and scissor. You cannot really main a particular hero, so it is hard to grow emotional attachment to one of them, especially where you can customize their appearance. You're required to switch out heros that counter the other team's hero in order to win objectives.
- Heroes like genji has very high skill ceiling and it feels outright broken when it is used by a very very good player. It can feel broken at times, and there are no characters that would shut him down hard. .
-  You would still need a very good FPS skill to perform well.  Aiming is very important part of Overwatch to win the games, but not as important as CS GO. Characters that require little aiming can easily be countered by a player with superior aiming.
-   The teamwork in this game is very involved so you will need a premade team of 6 people to play the game. Solo queing often leads to frustration, as you sometimes get a troll or a rager in your team and it can get very toxic.
-  Due to the team based nature of the game, most games I play is either one team steamrolling another, and vice versa. It makes this game very boring. Matchmaking is based on how well each individual perform in a game but the match itself relies on how well the team cooperate rather than individual performace.
-  Individual performance is not as meaningful like other games. Sometimes you felt like you did so well, but there are simply no meaningful recognition. It's important to be recognized for your hard work, especially when soloqueiing. This has result in most games I play everybody only wants to do a successive elimination so that they can get on the highlight ""Play of the Game"" after round ends. Going for the objective becomes secondary.… Expand"
3,Neonic,"Jul  9, 2016",10,"Overwatch was the first FPS-Game i played and i had very much fun. It was easy to understand and simple. But that should not be negative.Here are a few things i have to say:

Positive:

-very good sound
-good graphics
-simple play style
-easy to understand
-good game modes like: payload, capture points and king of the hill
-for good players there is competitive mode
-also aOverwatch was the first FPS-Game i played and i had very much fun. It was easy to understand and simple. But that should not be negative.Here are a few things i have to say:

Positive:

-very good sound
-good graphics
-simple play style
-easy to understand
-good game modes like: payload, capture points and king of the hill
-for good players there is competitive mode
-also a tutorial and practice areas
-good matchmaking
-xp-system
-cosmetics

Negative:
-well not very much, maybe that your can´t save your highlights

I played more than 100 hours playing and i am over level 100. I am very happy that this game exists.
Thanks to Blizzard!… Expand"
4,alexerar11,"Jul  7, 2016",0,"Grab TF2, mix it up with asses, boobs and sell it at 50 bloody dollars. Last time i buy a Blizzard game. with 1152 hours in TF2, and 200+ hours in Overwatch, i can say that don't worth  it. Anyways, what more i can expect from a company that makes a game which i need to pay monthly to play it?"
5,Tagirix,"Jul  7, 2016",10,"Overwatch is great. I have spent more than 30 hours (assuming OBT + after release time) and have got 27 level currently. I haven't any ideas to stop playing this game, since it's very fascinating. There are many heroes which will be interesting for everyone, without any exceptions. What is cool about this game is that Blizzard made it user-friendly. Seriously, look at the interface andOverwatch is great. I have spent more than 30 hours (assuming OBT + after release time) and have got 27 level currently. I haven't any ideas to stop playing this game, since it's very fascinating. There are many heroes which will be interesting for everyone, without any exceptions. What is cool about this game is that Blizzard made it user-friendly. Seriously, look at the interface and compare it with TF2. You will understand that Overwatch is for people. Thank you, Blizzard Entertainment, for another masterpiece!… Expand"
6,Dark_D3s7r0y3r,"Jul  7, 2016",5,"There's simply not enough to this game. Right from the get-go, all I can do is get put in terribly mismatched matches where my team either steamrolls the enemy team or the enemy team steamrolls us. There's not much in-between and I've had few moments where I genuinely enjoyed the gameplay instead of waiting for the slaughter to end. I'd play against AI if they weren't so totally braindeadThere's simply not enough to this game. Right from the get-go, all I can do is get put in terribly mismatched matches where my team either steamrolls the enemy team or the enemy team steamrolls us. There's not much in-between and I've had few moments where I genuinely enjoyed the gameplay instead of waiting for the slaughter to end. I'd play against AI if they weren't so totally braindead and if I didn't have to match with real players to be on my team.

I'd honestly just say to stick to Team Fortress 2, at least for now. It has far more content, game modes, support, and customization, and it's free. Overwatch is prettier and has a wider variation of characters, but in the end the game's structure seems to struggle with itself far too much. It sets itself up to be a big, interesting universe with interesting characters and events, but then all it does is throw those characters in a pit and make them duke it out. Hopefully in the future Blizzard will add some more substance to this game, but as of right now, it feels pitifully average.… Expand"
7,Inventus1,"Jul  7, 2016",10,"I have only played Overwatch a short time but it has been amazing. I would like to address the fact that many people believe Overwatch is a ""ripoff"" of Team Fortress 2 but I disagree. Overwatch doesn't truly copy much of Team Fortress 2, with the exception of game types and certain character abilities. Most of Overwatch's characters are much more creatively designed and diversified thanI have only played Overwatch a short time but it has been amazing. I would like to address the fact that many people believe Overwatch is a ""ripoff"" of Team Fortress 2 but I disagree. Overwatch doesn't truly copy much of Team Fortress 2, with the exception of game types and certain character abilities. Most of Overwatch's characters are much more creatively designed and diversified than all of TF2's characters. Each character has a unique playstyle and varies vastly from that of TF2. I prefer Overwatch over TF2 any day, mainly for the fact that it is much more colorful and it is more fun to play. The atmosphere is beyond amazing and it is an amazing first person shooter set to fit the needs of many different types of gamers. Some of the lore doesn't make sense but the game isn't meant to focus on lore. It requires teamwork and a proper selection and combination of heroes. If I had one complaint it would be that it can be hard to find a good match with players who refuse to compose a team correctly. 10/10 much better than TF2 and has earned the right to be an original game.… Expand"
8,inkblowout,"Jul  7, 2016",3,"Before I rated this game a 7/10 before competitive was implemented into OW. And god do I hate this game now... this game has been ruined by Blizzard and the Community.

The competitive mode sucks hard.. (Quick play didn't have great matchmaking balancing due to the 50/50 rule..) but matchmaking in comp is bad. The ranking system doesn't even make sense when it doesn't even track downBefore I rated this game a 7/10 before competitive was implemented into OW. And god do I hate this game now... this game has been ruined by Blizzard and the Community.

The competitive mode sucks hard.. (Quick play didn't have great matchmaking balancing due to the 50/50 rule..) but matchmaking in comp is bad. The ranking system doesn't even make sense when it doesn't even track down your personal skill level it focuses on win/losses and. And solo queuing games is a nightmare... you'll be expected to lose a lot because a pre made lobby is a lot more functional than a group of randoms. Why is a pre made necessary to efficiently rank up, whereas solo queuing players work like a dirty dog to actually rank up.

How can anyone justify this dsyfunction-palooza of a matchmaking... it's honestly one of the worst excuses for any type of competitive gamemode I've ever seen. Good job guys you ruined Overwatch which had the potential to be the ""next FPS"". Really is such a shame... Why bother releasing a half a**ed game... so I'll be making a half a**ed review because you deserve it.… Expand"
9,Brakkus,"Jul  6, 2016",1,"Where's my single player content? I'm sick of playing with losers. Also this game's too hard to play when I'm drunk, seriously how am I supposed to stream this? Sober? GTFO."
