,names,dates,scores,reviews
0,Jerych0,"Feb 12, 2021",0,"one of thee best multiplayer game i have played ever ...
it has fast game play that i love and has team work so much that is why i love much more ....

but lack of conection with fans and the worst ill of this game (smurfing) makes this game not playable as it intended"
1,abhinavbanerjee,"Jun  4, 2020",10,"Overwatch is my absolute favourite video game ever! The characters are phenomenally designed, the maps are beautifully built and the abilities are a joy to use every single time. The absolute teamwork that goes into every match makes the victories and defeats that much more meaningful and heartfelt. The animated shorts could win the academy awards if there was a category for it. And theOverwatch is my absolute favourite video game ever! The characters are phenomenally designed, the maps are beautifully built and the abilities are a joy to use every single time. The absolute teamwork that goes into every match makes the victories and defeats that much more meaningful and heartfelt. The animated shorts could win the academy awards if there was a category for it. And the community of about 50 million people at this point is a lot of additional love one can have in his/her life. Overwatch isn't just a game, it's a phenomenon that brought millions of people together and filled their lives with joy, hope, love, wonder and inspiration. I am lucky to be a part of this phenomenon, and I ain't ever abandoning it. Overwatch forever!… Expand"
2,MadWinning,"Feb  6, 2021",0,"The worst developer and community. Joke game, joke players, joke streamers, joke esports."
3,b4l4cps,"Feb  5, 2021",0,"the game is good but the company behavior with the players and community is trash... they threath u like garbage
the report system is totally automated , they dont check reports.. if u play a lot of hours per day u will eventually get banned either u do something wrong or not.. u can get 100% fake reports and get perma banned they dont give a F$#"" about u...
trash company and the mostthe game is good but the company behavior with the players and community is trash... they threath u like garbage
the report system is totally automated , they dont check reports.. if u play a lot of hours per day u will eventually get banned either u do something wrong or not.. u can get 100% fake reports and get perma banned they dont give a F$#"" about u...
trash company and the most toxic community iv ever played with..… Expand"
4,feudalthunder44,"Feb  1, 2021",8,One of my favourite games of all time but recently there has been quite toxic players apart from that it is a very solid game and i'd recommend it to anyone who enjoys action/fps games
5,RickAstley,"Jan 31, 2021",9,"Best hero shooter on the market. Unfortunately there are a lot of smurfs in competitive, which makes climbing from ranks harder"
6,astawar89,"Jan 31, 2021",0,"The worst matchmaking I've ever seen in a computer game. Remember, if you're doing too well, you'll have a losing quee and you can ask your teammates if they're in the same situation as you, they'll definitely be."
7,In-between,"Jan 30, 2021",1,"The game is in a terrible state. Both the matchmaking system and the community are suffering from horrible decisions.If you're playing this alone, either make friends quick or just play this like a casual Candy Crush game. There is nothing for you. Community is toxic and not helpful at all. Since OW release a bunch of better teamplay games have been released, throwing this one out of theThe game is in a terrible state. Both the matchmaking system and the community are suffering from horrible decisions.If you're playing this alone, either make friends quick or just play this like a casual Candy Crush game. There is nothing for you. Community is toxic and not helpful at all. Since OW release a bunch of better teamplay games have been released, throwing this one out of the window. The balancing aspect in the game is far gone, replaced by the ""everyone is a DPS"" thing to shorten queues. The game is also struggling to keep you entertained with almost no new content and generally low replayability aside the same matches on your rank over and over. Play it with someone and try to have fun. Not recommended.… Expand"
8,Agrowitcher,"Jan 27, 2021",0,"I loved overwatch so mush. But blizzar broke this game. Bored, only 2 2 2 setup, terrible matchmakng. Only 3 cnew chars for whole year! And now Overwatch 2. For what? Burn in hell JEFF"
9,Mag1cTurtle,"Jan 18, 2021",0,"Trash team balance. Smoorfs. Leavers. Toxics.
Don't waste your time, don't feed them."
