,names,dates,scores,reviews
0,Retero,"May 13, 2020",5,"There is not enough content, I played the Game for  5 hours and it was pretty Boring. The Maps and the Champions are good, but i think the Game needs more Gamemodes and more Content."
1,Iann22,"May 12, 2020",0,"Purchased the game in 2017 and it was good for a while but the endless buffs and bad new hero abilities totally ruined the game. Its simply amazing how Blizzard can turn a great game into total trash. This was also my LAST purchase from Blizz. Worst points:

1.	Bad and literally evil matchmaking, some games can’t be won no matter what, you cant leave the game (even quick play) becausePurchased the game in 2017 and it was good for a while but the endless buffs and bad new hero abilities totally ruined the game. Its simply amazing how Blizzard can turn a great game into total trash. This was also my LAST purchase from Blizz. Worst points:

1.	Bad and literally evil matchmaking, some games can’t be won no matter what, you cant leave the game (even quick play) because you will be matched to similar noobs again and again and again. You can’t even not play the round and wait because these noobs will report you. You just have to suffer.

2.	Terrible visual clutter, if you have problems with flashing lights DON’T PLAY THIS GAME. Even I as a healthy person get head eggs after some time.

3.	Constantly boosted hero abilities means that your team can get instantly wiped.

4.	Automatic bans where you can get banned for calling somebody a “noob”, the bans are for 2 weeks, 1 month or 2 months. Also, you can have your account disabled (here you lose your purchase!). Appealing a ban is pointless, you just gent an automatic reply from a script.

5.	Ranked matches are where you can’t rank up from your current rank to M/GM. You have to purchase a new game!

6.	In order to contact Blizzard support you have to send them a SCAN OF YOUR ID!! Do know that these game companies get hacked and don’t even acknowledge that. For my request I used a desktop screen shot and the script replied, LOL.

7.	In comparison, Apex feels much much more satisfactory and has a better matchmaking system and no punishments. The promised content for OW never arrived, game feels barren! People are also not scared to use voice or chat like in OW.

8.	I had Blizz in high regards and even donated to their cancer research, but after I experienced all their scumbag practices, I’m done with them.… Expand"
2,ChrisWhiteWolf,"May 10, 2020",0,"Every few months, the devs add another terrible character with cheap abilities who is inevitably overpowered for months or years and extremely frustrating to deal with, turning this once great game into more and more of a mess as time goes on. Don't bother with this trash."
3,zengchwi,"May 10, 2020",0,"Visuals are for the most part fine, except for the increasing amount of skill effect vomit on screen. Same for audio design, mostly great, but then you have exceptions for skills that almost force you to play the game on mute.

Unfortunately great visuals and audio design do not make up for the horribly flawed gameplay fundamentals. If you're looking for an FPS game to play, lookVisuals are for the most part fine, except for the increasing amount of skill effect vomit on screen. Same for audio design, mostly great, but then you have exceptions for skills that almost force you to play the game on mute.

Unfortunately great visuals and audio design do not make up for the horribly flawed gameplay fundamentals. If you're looking for an FPS game to play, look elsewhere. The easiest heroes to play are the most effective 99% time. High skill cap heroes get countered by braindead heroes that can be operated by a quadraplegic. A-D crouch spam with flawed hitboxes. Maps look great, but most feel terrible to play. Balance changes are slow and based on quickplay instead of competitive play. New heroes are powercreeped and overkitted. One of the worst matchmaking systems in any competitive games. Noticeably decreasing playerbase. Dying esports scene, which is not surprising because Blizzard has been known for a long time to be incompetent in that area.… Expand"
4,gloodgy,"May  8, 2020",0,Free hong kong! Blizzard is a scummy company that doesnt deserve your money
5,pdrcode,"May  4, 2020",1,Fallen Blizzard. Junk Activision. They have changed. This game is no longer fun.
6,DudDOOD,"Apr 25, 2020",0,"Division by zero. The complexity of a puzzle is welcome when you can achieve control over pieces of the puzzle. This game goes too far where it should not be going.
1.The game expands and amplifies all the problems that are impossible to control making it addictive and unbelievably unfun. Even pro-scene can't achieve proper team synergy after months of scrims, what could you say aboutDivision by zero. The complexity of a puzzle is welcome when you can achieve control over pieces of the puzzle. This game goes too far where it should not be going.
1.The game expands and amplifies all the problems that are impossible to control making it addictive and unbelievably unfun. Even pro-scene can't achieve proper team synergy after months of scrims, what could you say about ranked gameplay of random people?
2.The game stresses the limits of poorly designed netcode too far. Because of complexity of hero interactions Blizzard has sacrificed important gameplay mechanics. First of all they butchered movement acceleration which is needed for aiming to be consistent and rewarding. Heroes in this game can crouch-spam and strafe-spam. Playing a dps hero in this game at high enough levels is incredibly stressful, you never know if you can be consistent today or tomorrow. Assembling a consistent team is also almost impossible. Because if only 2 players of the team take dps-role and if they are locked into that role - that means that consistency of 6 people team might be largely dependent on consistency of their aim, especially at higher tiers(this is only dps example, don't get me started on complexity of classes interactions and consistency of execution, it's just horribly overcomplex, it's like dota salt squared. in dota you at least can gather a team and can achieve consistent synergy) Now you can imagine what Overwatch pro-scene looks like. Like, in case of this bad design, a team has to have many dps-players, and if needed they should be able to replace each other as needed. But, in that case, how do you develop team synergy if you have so many players? Overwatch as e-sports is divided by zero.
So I could say, that the game is unfun to play, but fun to watch as e-sports. Except it isn't fun to watch either if we get into bigger picture. With the problems observed above, we can see, that it's very important to increase the consistency of outcomes in tournaments, since there is too much luck involved. Which means, that pro-scene has to play a lot more rounds in a tournament. Like three times more at least? Or we have to dramatically increase all heroes hp, like make it twice more for all heroes and somehow balance it. Tanks are way more consistent in this game on all accounts even in damage output, that's why it's broken by design. If this issue will be addressed, then we can weight outcomes more seriously. But wait! It won't be fun to watch, right?
It can become an e-sport if the netcode will become godly optimized and/or networking hardware will allow for higher tickrate and proper movement acceleration. In the current state proper Overwatch as an e-sports is GOATS or anything non hitscan, but the community does not want to see that.
You also have to buy the game while it has microtransactions like a free-to-play game would have. Blizzard were so salty about dota and wanted their own Team Fortress+Dota as quickly as possible, so they even abandoned their project Titan and started to quickly roughly somehow make overwatch with no idea what were they doing exactly anyway. ""Let's just use wc3 formula, just let's add a lot of diversity make it all flashy, then we will somehow sort it out.""
Maybe, just maybe, Blizzard was thinking years ahead. But I don't believe that. Game theory does not work that way. I would believe a story about that Overwatch core ideas were created by salesmen who don't even play games or they are really bad and basic at the games, that is why they simply threw away core fps gameplay mechanics without understanding what they are doing. And after a while they have listened to pro players talking about that the game is mechanically unfun, then they listened to devs talking about that it's technically impossible, and then they went 'ok, let's just continue with our marketable rainbow vomit'
Annd they started to add so many dps classes, so it's now progressively harder to perform consistently in dps-role, the entry level is absurd for dps-role, and probably there will be more balance changes that will shift everything again. Also at some point your main will get nerfed into oblivion - that will happen, that's how balance made by salesmen works. And you will feel betrayed for putting so many hours into playing your favorite hero. It's like taking away the reward you deserve.

Overly complex, frustratingly hard to track piece. Designed with no other thought than to attract with colors and diversity without any understanding how a competitive fps works. This **** monster can never lift off without a retarded amount of investment, because you can't attract a lot of viewers and players to something that is not even fun to aspire to. Who would aspire for a chance to be a star for only 2 years before massive burnout?… Expand"
7,W1LL1AN,"Apr 23, 2020",10,"O melhor multiplayer dos últimos anos, roda em qualquer máquina, tem uma história cativante com personagens com muito carisma, excelente cuidado com as localizações do jogo."
8,donkeymoose,"Apr 21, 2020",2,"Overwatch is an amazingly well made and polished base game. Unfortunately it is managed by people thinking they can make it into something as big as LoL or similar in terms of competetive gaming popularity. Every time they try to make it more appealing they make it less enjoyable bit by bit.

Playing it is essentially like being in a job that should be amazing but having a boss who triesOverwatch is an amazingly well made and polished base game. Unfortunately it is managed by people thinking they can make it into something as big as LoL or similar in terms of competetive gaming popularity. Every time they try to make it more appealing they make it less enjoyable bit by bit.

Playing it is essentially like being in a job that should be amazing but having a boss who tries to micromanage every minor detail and change your aims and goals every couple of months.… Expand"
9,Pyrowolf2,"Apr 20, 2020",3,"Pros: Es un muy buen juego con un arte y lore hermoso, gráficos muy buenos, un gameplay adictivo, muy lindos detalles como skins y easter eggs, varios personajes con distintas formas de jugarse, ninguno igual a otro, tiene eventos divertidos y te divertís cuando jugas

Cual es el problema entonces?

Contras: El juego como no tenia competitivo se lo agregaron, le hicieron fullPros: Es un muy buen juego con un arte y lore hermoso, gráficos muy buenos, un gameplay adictivo, muy lindos detalles como skins y easter eggs, varios personajes con distintas formas de jugarse, ninguno igual a otro, tiene eventos divertidos y te divertís cuando jugas

Cual es el problema entonces?

Contras: El juego como no tenia competitivo se lo agregaron, le hicieron full propagandas de que el competitivo era el mejor y ibas a sentir un progreso, que estaba super pulido, pero no lo está, quedas en un rango del 1 al 5000 y vas subiendo y bajando 500 puntos de donde quedaste, si subis mucho te empieza a poner con trolls, leavers,lvls bajos, niños y te desconecta de las partidas sin razon alguna, cualquier persona de la comunidad te lo puede confirmar, y si bajas muchisimo te va regalando las partidas por que las podes carrear tranquilamente.

Yo me volví adicto a este juego y estoy tratando de dejarlo, es un sufrimiento el competitivo, subís con esfuerzo viendo videos, practicando y ganas 2 partidas para perder 4 por que no te emparejan bien

No compres este juego, la vas a sufrir, blizzard va en decadencia… Expand"
