,names,dates,scores,reviews
0,diegoisdead3,"Jul 20, 2018",8,"Fuera de los molestos hackers que recientemente han estado dañando bastante la comunidad, creo que este es un juego interesante que se sostiene por si mismo. Las constantes actualizaciones realmente resultan útiles, al mismo tiempo que el uso de lootboxes es moderado y no es necesariamente nocivo ni peligroso, siendo este solo estético y no llega a afectar la jugabilidad.

El juego esFuera de los molestos hackers que recientemente han estado dañando bastante la comunidad, creo que este es un juego interesante que se sostiene por si mismo. Las constantes actualizaciones realmente resultan útiles, al mismo tiempo que el uso de lootboxes es moderado y no es necesariamente nocivo ni peligroso, siendo este solo estético y no llega a afectar la jugabilidad.

El juego es bueno, e incluso visualmente y conceptualmente resulta increíblemente bueno. Los controles en PC son sólidos y fáciles de comprender y controlar. Creo los mayores problemas del juego surgen gracias a la toxica comunidad que se ha formado al rededor de este, la que realmente afecta mucho la experiencia del multi-jugador, esto incluye a la gente toxica y a los molestos hackers. A pesar de esto se pueden encontrar partidas buenas, y gracias a la variedad de servidores puedes evitar esas molestas experiencias, aunque aún así creo debe haber más control y mas comunicación con los usuarios de parte de Blizzard.… Expand"
1,ShellbyC__GT500,"Jul 10, 2018",2,"Overrated an painfully mediocre. I got this game in my spare time to play with my friend and was disappointed by the long ma wait tch times, basic gameplay and lack of maps. I play TF2, and going from having 8+ game modes and 50+ maps on team fortress to 5 or so game modes and what feels like around 15 small maps just gets stale fast. On top of that, 6 person teams in my opinion make theOverrated an painfully mediocre. I got this game in my spare time to play with my friend and was disappointed by the long ma wait tch times, basic gameplay and lack of maps. I play TF2, and going from having 8+ game modes and 50+ maps on team fortress to 5 or so game modes and what feels like around 15 small maps just gets stale fast. On top of that, 6 person teams in my opinion make the game feel desolate, as I’m used to teams of up to 16 per side on TF2. Overwatch follows a trend that I think a lot of blizzard games follow, built for esports first and fun second.… Expand"
2,TheUberMann,"Jul  6, 2018",2,"First of all: I really want Overwatch to be a good game. I really do. A worthy competitor to the unbeatable giant that TF2 is, would be better for everyone. For once the TF-Team would have some competition again. Valve overall is a giant in the world. Name one platform selling games that has even the chance to be better than Steam. But Overwatch with it's ""good looking graphics"" and ""goodFirst of all: I really want Overwatch to be a good game. I really do. A worthy competitor to the unbeatable giant that TF2 is, would be better for everyone. For once the TF-Team would have some competition again. Valve overall is a giant in the world. Name one platform selling games that has even the chance to be better than Steam. But Overwatch with it's ""good looking graphics"" and ""good sound"" combined with not even challenging and repetitive gameplay is just sad. ""Hey, why not make a way to play the game that costs a little more effort from the player than just pressing shift for xy?"" Nah. Balance is most of the time just broken af and every update solves one problem, but causes another one. I just mention the Mercy rework. First she was perfectly fine, then the rework came and she was stupidly OP, then got nerfed into the ground till she is pretty much useless compared to other support Hero's. And all that goes on and on. Fancy graphics with literally no exciting gameplay and such a small learning curve as Overwatch has it won't keep a game alive that long. It's -sadly- just another pile of useless AAA junk that some people were throwing on the market. Make it good or just don't make it... Even though I have to mention: It CAN be fun for 2-3 matches every few days, but the matches are too repetitive for me. It is one of those games which have the same **** formula for every single match. That's why I rate 2/10. Because you can have at least a bit fun with it for a short period of time.… Expand"
3,KocmoCat,"Jul  6, 2018",3,"im done playing this game because it feels like new characters ruin game for me (brigitte, doomfist).
its so unfun play against them. it was a good game bud now, i dont feel it"
4,LifeHistory,"Jul  2, 2018",2,"Overrated and Not original nor a fun game. Just another over hyped blizzard game. The characters are limited and have their own weapon that you cannot change which is boring as hell. I don't get how this is better than Unreal tournament or the multiplayer of  HALO. Halo alone destroys this. Also its just another version of MOBA games if you match with bad people you will lose which youOverrated and Not original nor a fun game. Just another over hyped blizzard game. The characters are limited and have their own weapon that you cannot change which is boring as hell. I don't get how this is better than Unreal tournament or the multiplayer of  HALO. Halo alone destroys this. Also its just another version of MOBA games if you match with bad people you will lose which you will a lot because they always force you to lose.

And also it should have been F2P because its exactly just another MOBA in First Person Shooter style. You pay then you have to pay for skins and stuff. Just an example of a cash grab to fool kids with cosmetics and grab money from em.… Expand"
5,danielosky95,"Jul  2, 2018",0,"it's a really toxic community that has much as I enjoy the gameplay has ruined the experience for me.
Not recommended"
6,alm04367,"Jun 29, 2018",0,"Jogo pobre, não tem conteúdo, é uma vergonha dar GOTY a essa merda, deveria ser Free pra compensar."
7,itdoesntmatter1,"Jun 27, 2018",8,Ive really tried to like this game but it is ultimately unplayable. I have internet with 5ms and 100+ mbps  download/upload and the servers still make me feel like Im the one not doing well enough. Plenty of times I see my kill feed not account for something I did in game and shots go through enemies so somehow it favors the opposite side even though I have no lag. I will stop playing thisIve really tried to like this game but it is ultimately unplayable. I have internet with 5ms and 100+ mbps  download/upload and the servers still make me feel like Im the one not doing well enough. Plenty of times I see my kill feed not account for something I did in game and shots go through enemies so somehow it favors the opposite side even though I have no lag. I will stop playing this game because of that. Competitively you are at the mercy of the blizzard server and who its preferring. If you want to roll the dice go for it. Also its becoming a skill-less game so yay for blizzard for catering to the casuals. Seriously who actually thinks this is a good game anymore?… Expand
8,Ifelmior66,"Jun 27, 2018",9,"ein fantastisches Multiplayer-Spiel mit vielen interessanten Charakteren auch wenn man manchmal Pech haben kann und in einem Team ist das fast nix macht, macht es sehr viel Spass zu spielen und ich habe viele Stunden mit dem Spiel verbracht."
9,hackerino,"Jun 26, 2018",10,"You can go on the map Hollywood, set up a green screen, and shoot ANYTHING you want. I just shot Keemstar and Donald Trump several times! 10/10."
