,names,dates,scores,reviews
0,StealthyK1LLs,"May 25, 2016",9,"Overwatch is the most polished and unique FPS I've played in a long while. A brilliant blend of some MOBA elements and 100% objective-based gameplay. It's great for casual and competitive play, and will keep you on your computer for hours. My only real complaint is that I wish there was a bit more content at launch, but the promise of free upcoming DLC gives me hope. Hands down, this isOverwatch is the most polished and unique FPS I've played in a long while. A brilliant blend of some MOBA elements and 100% objective-based gameplay. It's great for casual and competitive play, and will keep you on your computer for hours. My only real complaint is that I wish there was a bit more content at launch, but the promise of free upcoming DLC gives me hope. Hands down, this is the best and most polished class-based FPS of all time.

Oh, and microtransactions are completely unobtrusive and purely cosmetic, but pretty damn expensive. You can just earn loot boxes by playing the game, though. Super easy to earn.… Expand"
1,alexo774,"May 25, 2016",9,"The first three hours of this game were hell. It was the worst thing ever. But then I realized how terrible I was at the game, I worked on my skills, and within two more hours, I was hooked. Welcome to one of the most polished and fun games of the 2010s so far."
2,veilex,"May 25, 2016",0,"This game IS basically an FPS MOBA... in spite of what some here are claiming. It suffers from a severe lack of content, has little to drive replayability... particularly when contrasted to existing MOBAs. The art is good... but it would seem the art and the trailers are expected to carry the sales for this game. I recommend against getting this game... unless, of course, Activision canThis game IS basically an FPS MOBA... in spite of what some here are claiming. It suffers from a severe lack of content, has little to drive replayability... particularly when contrasted to existing MOBAs. The art is good... but it would seem the art and the trailers are expected to carry the sales for this game. I recommend against getting this game... unless, of course, Activision can pull off a major overhaul of the game.… Expand"
3,QuietCoyote,"May 25, 2016",8,"A lot of people are irritated by Overwatch's pricing model. Personally, I'm not. I like the security of not having to pay for any upcoming additional maps or characters, never being faced with an annoying grind, or never being faced against others with unfair advantages. However, I understand other games have done F2P without any issues of that sort. For me, the sheer fun that this gameA lot of people are irritated by Overwatch's pricing model. Personally, I'm not. I like the security of not having to pay for any upcoming additional maps or characters, never being faced with an annoying grind, or never being faced against others with unfair advantages. However, I understand other games have done F2P without any issues of that sort. For me, the sheer fun that this game provides and the potential it has for the future are what make the 40 bucks (from blizzard's website) well worth it.… Expand"
4,soenderup,"May 25, 2016",10,I'd describe this game as a 10/10 game if it wasnt for the character mei. Most of the time you get killed by her you'll feel like theres no counter play to her. Ignoring this one character who is BTW NOT UNBALLANCED just really annoying to play against. I give this 10/10 simply because its the best game i'øve ever played
5,Traybair,"May 25, 2016",10,I don't own the game. I am just showing everyone that this site is BS because I can rate a game I haven't even played. How many people does it take for me to make this 150 characters long?
6,DemKin,"May 25, 2016",8,"Fun game to play with friends. ""With friends"" is to be emphasized, as the one-trick poney characters are kings on this game, the 20 tick servers might annoy you at times and the ridiculousness of the action doesn't make for a very competitive game or a game to be taken seriously at all.
Nonetheless an immediatly and casually fun game most should be able to enjoy. With friends."
7,mohbaboo,"May 25, 2016",5,Great gameplay with great characters but short on modes and I can't see myself playing it more than a couple of weeks which makes the game's price questionable.
8,Janosuk,"May 25, 2016",5,"After sinking a good few hours into this game I've come to the conclusion that it's far from worth the 40 euro asking price I dropped on it for.

It's a game based around 20 or so Heroes that all have 'unique' play styles, you will spend all your time either bashing your head against a brick wall as you throw yourself against the enemy in an attempt to escort (Yes.. escort missions!!! SoAfter sinking a good few hours into this game I've come to the conclusion that it's far from worth the 40 euro asking price I dropped on it for.

It's a game based around 20 or so Heroes that all have 'unique' play styles, you will spend all your time either bashing your head against a brick wall as you throw yourself against the enemy in an attempt to escort (Yes.. escort missions!!! So much fun..) the payload to a destination or completely stomp the enemy into the ground, all the while playing on escort maps that become ever more choke-points that render the enemy team an even greater advantage. There is also capture the area (Most balanced) and a combination of the previous two game modes leading to a hybrid of sorts. All be told there are a whopping ... three game-modes to play in.

As with most games where you're locked into a character with unique skills and attributes there are some  who are exceptionally strong and those that are .. well.. In need of a minor buff, some tanks don't feel 'tanky' at all and support characters that are capable of dishing out the pain like a pure dps character. Almost every match-up I've had so far (It is early days yet I'll give the game that) has almost everyone choosing the sniper/dps hero's leaving me to have to pick up the slack and choose the support and/or tank.

Since all the Hero's have unique skills it follows that there is a champion who counters those skills and enables you to progress as a team, it becomes extremely monotonous when you have to rock paper scissor your way through a match, although you can buck the trend and have a team made up exclusively of one hero (Yes hero stacking is a thing, blizzard didn't learn from league of legends), which on some maps is extremely broken.

It does have it's charm however, the characters are all quirky and interesting (If lacking in the lore department), some having that edgy, dangerous look about them others are charming and cute, while some are a combination of the two, all of which are rendered in a very beautiful, stylized graphics engine. You have various vanity unlocks for each of them, from in-game emotes, skins, lines they can say and various different sprays, there is enough useless junk to collect that would give Ubisoft games a run for it's money.

All in all I would wait for the price to drop before purchasing this game, it's fun in short bursts but it has it's issues to say the least, but seeing as this is a blizzard game the price wont see a drop until sometime in the next decade.… Expand"
9,CavernClub,"May 25, 2016",10,"I haven't felt this much joy and desire to play a video game in a long time. Overwatch is a breath of fresh air.

My desire to play shooters had been slowing down for more games like smash bros and rocket league that had a little more new and unique ideas to them, so seeing another shooter being released just made me think I'll run the routine of buying a shooter, playing it the firstI haven't felt this much joy and desire to play a video game in a long time. Overwatch is a breath of fresh air.

My desire to play shooters had been slowing down for more games like smash bros and rocket league that had a little more new and unique ideas to them, so seeing another shooter being released just made me think I'll run the routine of buying a shooter, playing it the first week or two, trying to find friends who have it so I'll have people to play with I know, and then getting bored/forgetting about it until the dust settles so high on it that giving it away isn't even Worth it. But I gave Overwatch a shot and I can't believe I hadn't been excited about this before.

Upon loading up the game and starting with the tutorial, I struggled a bit with the controls. My shooter experience started with mainly Halo, Call of Duty and games the like, so not having sprint(or with the tutorial character Soldier 76 being tied to a button press) made things a little foreign. Realizing that every character was a completely different play style and had his or different kinks and actions was daunting at first, but it remind me of picking a fighter in Smash Bros., and Like in smash bros where basic such as jump, move and the buttons you press to attack so will every character control in a constant way. The defining and differentiating factor being the unique and creative abilities I've only dreamed about in shooter games.
Having so many options to choose from and learning how all work with different team makeups makes this game so refreshing. Every game brings you a new ever changing puzzle that you and you team must solve. I have never been able to play the every level the same way and I love that. I don't want an experience in a game where I know the sniper sits up here and the turret always goes here. In games like Call of Duty where people end up using the same gun because it way overpowered, the balancing so perfect in Overwatch you will almost never blame it. Every character can be countered and if the situation calls for it you area me to change characters at anytime. If a team is dominating it's because they have a well organized group and are strategizing with each other. It is up to your team to figure it out how to take the opposing team and Objective. And I can't stress enough how much your team is the most important thing. So many games try to promote teamwork but it never works they way they say. I honestly feel like if any game has a team deathmatch mode you start only worrying about how you are playing, trying to get a positive k/d ratio and you will never be able to promote teamwork. Overwatch does not let you focus on yourself. It's not about you, it's about you working with others. I found myself constantly changing characters and trying to find the best for my team and for the situation and we started dominating and the other team didn't adapt, we would win in what felt like a heartbeat. I could go on for awhile about how I don't care if you are the best Hanzo player out there, having 2-4 of them on a team while we are attacking will rarely ever work. And I say rarely for a reason; because there is no definite way to play this game. There's no easy always win team combination. Sometimes a strategy might call for 4 Hanzos' and I love that Overwatch allows for a discovery that most shooter games have never gotten close too.

You can feel the love and passion of the developers in every single detail of this game. There is nothing out of place. Every match I had, menu I scrolled through made me just feel like a kid again. I never wanted it to end. I have obsessed over this game. From something I had almost no interest in, to now wanting to spend all my free time with my wife and friends playing this game. I have a game I truly love and has refilled my passion for a genre that I believe has been getting stale. Thank you Blizzard.… Expand"
