,names,dates,scores,reviews
0,isg1983,"Jun 10, 2016",6,"Brings nothing new to the table. Just a super polished Team Fortress 2 with some moba some skills added. It is a fun game while it lasts, got to add release price is just out of hype, no multiplayer only game deserves that much money."
1,Joy-Energiser,"Jun 10, 2016",9,"The game certainly has lived up to its hype, I haven't felt the need to log into a game and play so much since CSGO first came out. I give this game a 9 out of sheer addictive ness but not a 10 because of balance issues with the heroes."
2,Mortho,"Jun 10, 2016",1,"Most time you have casuals in your team everybody do what he want, real team play is very rar. and there is no long time Motivation....waste of money."
3,Jobbig,"Jun  9, 2016",10,"Blizzards new franchise. If you have friends that you can play with or if you are a person that can easily make friends while playing you will love that game and the people that are giving this game negative reviews are playing solo. It is a team game, you can still play solo but without decent communication and people to play with I can see it gettting booring since ranked is coming inBlizzards new franchise. If you have friends that you can play with or if you are a person that can easily make friends while playing you will love that game and the people that are giving this game negative reviews are playing solo. It is a team game, you can still play solo but without decent communication and people to play with I can see it gettting booring since ranked is coming in the end of june. It's polished the feel and gameplay is amazing, the sound is to die for.… Expand"
4,Awesometron,"Jun  9, 2016",0,"I spent about 150+ hours on Overwatch thinking, ""Hey, this feels like a terrible version of TF2, why did they ripoff the class types and the animation style but none of the clever maps or character balance?""

And then I got on the forums to ask, and everyone who refuses to accept that Blizzard hasn't launched an original game since WoW. And all I got in response was, ""It's not a ripoff!I spent about 150+ hours on Overwatch thinking, ""Hey, this feels like a terrible version of TF2, why did they ripoff the class types and the animation style but none of the clever maps or character balance?""

And then I got on the forums to ask, and everyone who refuses to accept that Blizzard hasn't launched an original game since WoW. And all I got in response was, ""It's not a ripoff! It's a totally different game!"" and the main response was, ""Well if TF2 is soooo much better why dont you go back to that!"" And at first I was bothered by all the instant negativity, but then I realized they were right.

So I went back to TF2 and haven't regretted it for a moment.

TL:DR I spent $40 to remind myself that new doesn't equal better.… Expand"
5,FoxS,"Jun  9, 2016",8,"The game has lots of promise, it already has an abundance of very well balanced characters (with each having a unique playing style might I add), a decent amount of maps and modes (which are plenty of fun to play with friends), a soon to come competitive mode, and other cool little details that make the game just great. The game is fast paced and very fun. There isn't one moment in a matchThe game has lots of promise, it already has an abundance of very well balanced characters (with each having a unique playing style might I add), a decent amount of maps and modes (which are plenty of fun to play with friends), a soon to come competitive mode, and other cool little details that make the game just great. The game is fast paced and very fun. There isn't one moment in a match where I feel like I am doing nothing. All that I ask of the game now is that they have skins for the weapons apart from the skins themselves, so that everyone has different combinations of body skins as well as weapon skins. The game has very good graphics and an awesome art style to complement it.

My Verdict: Well worth the $40 USD as it is much more fun than many fps games that are more pricey than this game… Expand"
6,Aldebaran7,"Jun  9, 2016",10,"I haven't had that much fun in a game in sooo much long. I literally have a blast when playing with friends and the graphics look so beautiful! The core mechanics of all characters are pretty simple but there is always room for improvement. Also it only costs 40 euros! A must buy for anyone who wants to just blow some steam off after work, school etc. Again, one of the most fun games I'veI haven't had that much fun in a game in sooo much long. I literally have a blast when playing with friends and the graphics look so beautiful! The core mechanics of all characters are pretty simple but there is always room for improvement. Also it only costs 40 euros! A must buy for anyone who wants to just blow some steam off after work, school etc. Again, one of the most fun games I've played in my life!… Expand"
7,Tytos,"Jun  9, 2016",7,"Solid foundation to which build open, really hope they don't tackle this at the usual ""Blizzard slow"" speed, multiplayer games live from constant new updates and currently the game lacks content, long time motivation."
8,pump-kin,"Jun  9, 2016",9,"I wasn't going to write a review, but some of the negative ratings surprised me with their arguments, the most often cited of which is the opinion that this game should be F2P or isn't worth the money because it's PvP and doesn't have a story.

Obviously, everyone is entitled to their own opinion, but I am surprised to find that some people think that the devs don't deserve 40€ (orI wasn't going to write a review, but some of the negative ratings surprised me with their arguments, the most often cited of which is the opinion that this game should be F2P or isn't worth the money because it's PvP and doesn't have a story.

Obviously, everyone is entitled to their own opinion, but I am surprised to find that some people think that the devs don't deserve 40€ (or according to some, no money at all) for this game simply because it's PvP and because of the low number of game modes. I don't know why it should be a set standard that every PvP game needs to be F2P or can only cost a certain amount of money.

In my opinion, the characters are well balanced and well designed, and the characters that need a slight nerf or buff are already in the process of being subject to that change. I love the diversity of their functions in the context of teamplay. I love the gameplay and the sound design. And after 40 hrs of playing this game, I have as much fun playing it now as I did when it was released only a few weeks ago.

Already now, I feel like I have gotten my money's worth and Blizzard did an extremely good job of delivering a new and addictive FPS experience for me. For anyone who's looking for a TF2-inspired FPS, I can recommend this game wholeheartedly.… Expand"
9,Kitsun3,"Jun  9, 2016",10,"Make no mistake. This game is currently feature light. While there are a good few maps you'll quickly find yourself familiar with them which is both good and bad. There is also only 4 objective types; protect a point, contest a point, escort a payload and a hybrid of the first and third.

However the character roster is incredibly well balanced, diverse and fun to play. Even people newMake no mistake. This game is currently feature light. While there are a good few maps you'll quickly find yourself familiar with them which is both good and bad. There is also only 4 objective types; protect a point, contest a point, escort a payload and a hybrid of the first and third.

However the character roster is incredibly well balanced, diverse and fun to play. Even people new to FPS / Arena games and those whom have dismissed them before will find a play style to love and a character they either relate to or find amusing. With new content and subtle character changes to come frequently the game will only keep on developing. The first content update is due this month which is well in time before the game becomes stale.… Expand"
